time,Vbus(V),Ibus(A),Power(W),Vd+(V),Vd-(V),energy(Wh),temperature(��),,,,,,,
00:22.5,5.0029,0.1451,0.7259,3.078,0.014,,,5.0029,0.1446,0.7236,3.048,0.002,0.0395,27.3
00:22.6,5.0029,0.1451,0.7259,3.04,0.002,,,5.0029,0.1447,0.7237,3.105,0.001,,
00:22.7,5.003,0.1451,0.726,2.936,0.294,,,5.0028,0.1446,0.7234,3.163,0.157,,
00:22.8,5.0029,0.1451,0.7261,3.039,2.332,,,5.0029,0.1446,0.7235,3.041,2.635,,
00:22.9,5.0029,0.1451,0.7261,3.05,0.003,,,5.0029,0.1446,0.7236,3.13,0.002,,
00:23.0,5.0029,0.1451,0.726,3.052,0.004,0.0048,27.9,5.0029,0.1446,0.7234,3.058,0.004,,
00:23.1,5.0029,0.1451,0.726,3.065,0.023,,,5.0008,0.1752,0.876,3.052,0.003,,
00:23.2,5.0029,0.1451,0.7259,3.055,0.01,,,5.0001,0.1763,0.8814,3.046,0.005,,
00:23.3,5.0029,0.1451,0.726,3.109,1.066,,,4.9989,0.1779,0.8895,2.918,0.007,,
00:23.4,5.0029,0.1451,0.7261,3.06,0.021,,,4.9986,0.1784,0.8915,3.022,0.006,,
00:23.5,5.0029,0.1451,0.7261,3.184,0.002,,,4.998,0.179,0.8944,3.068,0.012,0.0397,26.8
00:23.6,5.0029,0.1451,0.7261,3.065,0.003,,,4.9979,0.1791,0.8953,3.081,0.02,,
00:23.7,5.0029,0.1451,0.7259,3.091,0.01,,,5.0005,0.1429,0.7148,0.693,0.017,,
00:23.8,5.0029,0.1451,0.7259,2.348,0.012,,,5.0012,0.1436,0.7182,3.059,0.005,,
